C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.35.51_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
1643  |   - Dispatch(432, 1, 1)                        | 198    | 52.86458
1648  |   - Dispatch(1, 1, 1)                          | 199    | 7.96875
1653  |   - Dispatch(144, 1, 1)                        | 200    | 20.36458
1658  |   - Dispatch(1, 1, 1)                          | 201    | 7.96875
1663  |   - Dispatch(108, 1, 1)                        | 202    | 21.04167
1668  |   - Dispatch(1, 1, 1)                          | 203    | 7.91667
1673  |   - Dispatch(36, 1, 1)                         | 204    | 10.26042
1678  |   - Dispatch(1, 1, 1)                          | 205    | 7.34375
1683  |   - Dispatch(27, 1, 1)                         | 206    | 9.47917
1688  |   - Dispatch(1, 1, 1)                          | 207    | 7.50
1693  |   - Dispatch(9, 1, 1)                          | 208    | 7.60417
1698  |   - Dispatch(1, 1, 1)                          | 209    | 7.44792
1703  |   - Dispatch(1, 1, 1)                          | 210    | 7.50
1708  |   - Dispatch(1, 1, 1)                          | 211    | 7.23958
1712  | - End of Capture                               | 212    | 0.3125
