C:/Users/user/Documents/directx_exp/ss.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
1588  |   - CopyResource(Buffer 613, Buffer 501)       | 197    | 5.9375
1590  |   - CopyResource(Buffer 615, Buffer 474)       | 198    | 31.45833
1592  |   - CopyResource(Buffer 610, Buffer 477)       | 199    | 10.10417
1594  |   - CopyResource(Buffer 611, Buffer 459)       | 200    | 14.63542
1596  |   - CopyResource(Buffer 610, Buffer 462)       | 201    | 6.40625
1598  |   - CopyResource(Buffer 616, Buffer 435)       | 202    | 14.47917
1600  |   - CopyResource(Buffer 607, Buffer 438)       | 203    | 6.04167
1602  |   - CopyResource(Buffer 608, Buffer 420)       | 204    | 12.50
1604  |   - CopyResource(Buffer 607, Buffer 423)       | 205    | 5.67708
1606  |   - CopyResource(Buffer 617, Buffer 396)       | 206    | 11.82292
1608  |   - CopyResource(Buffer 604, Buffer 399)       | 207    | 6.04167
1610  |   - CopyResource(Buffer 605, Buffer 381)       | 208    | 6.77083
1612  |   - CopyResource(Buffer 604, Buffer 384)       | 209    | 5.52083
1614  |   - CopyResource(Buffer 604, Buffer 369)       | 210    | 5.88542
1616  |   - CopyResource(Buffer 618, Buffer 372)       | 211    | 5.00
1653  |   - Dispatch(2, 1, 1)                          | 212    | 8.07292
1658  |   - Dispatch(1, 1, 1)                          | 213    | 7.86458
1663  |   - Dispatch(9, 1, 1)                          | 214    | 8.02083
1668  |   - Dispatch(1, 1, 1)                          | 215    | 7.8125
1673  |   - Dispatch(18, 1, 1)                         | 216    | 7.96875
1678  |   - Dispatch(1, 1, 1)                          | 217    | 7.70833
1683  |   - Dispatch(36, 1, 1)                         | 218    | 8.38542
1688  |   - Dispatch(1, 1, 1)                          | 219    | 7.13542
1693  |   - Dispatch(72, 1, 1)                         | 220    | 11.77083
1698  |   - Dispatch(1, 1, 1)                          | 221    | 7.65625
1703  |   - Dispatch(144, 1, 1)                        | 222    | 15.625
1708  |   - Dispatch(1, 1, 1)                          | 223    | 7.50
1713  |   - Dispatch(288, 1, 1)                        | 224    | 24.89583
1718  |   - Dispatch(1, 1, 1)                          | 225    | 7.70833
1723  |   - Dispatch(576, 1, 1)                        | 226    | 48.64583
1728  |   - Dispatch(1, 1, 1)                          | 227    | 7.23958
1733  |   - Dispatch(432, 1, 1)                        | 228    | 36.5625
1738  |   - Dispatch(1, 1, 1)                          | 229    | 11.82292
1743  |   - Dispatch(144, 1, 1)                        | 230    | 20.67708
1748  |   - Dispatch(1, 1, 1)                          | 231    | 7.50
1753  |   - Dispatch(108, 1, 1)                        | 232    | 14.32292
1758  |   - Dispatch(1, 1, 1)                          | 233    | 7.60417
1763  |   - Dispatch(36, 1, 1)                         | 234    | 9.58333
1768  |   - Dispatch(1, 1, 1)                          | 235    | 7.08333
1773  |   - Dispatch(27, 1, 1)                         | 236    | 12.39583
1778  |   - Dispatch(1, 1, 1)                          | 237    | 7.60417
1783  |   - Dispatch(9, 1, 1)                          | 238    | 7.44792
1788  |   - Dispatch(1, 1, 1)                          | 239    | 7.91667
1793  |   - Dispatch(1, 1, 1)                          | 240    | 6.35417
1798  |   - Dispatch(1, 1, 1)                          | 241    | 7.70833
1801  | - End of Capture                               | 242    | 0.36458
